"Easting","Northing","Longitude","Latitude","Elevation"
494361.9,6407227.3,116.94,-32.4721428571429,388.903533935547
494361.8,6407340.4,116.94,-32.4711224489796,388.906860351562
494361.8,6407453.5,116.94,-32.4701020408163,390.758972167969
494361.7,6407566.6,116.94,-32.4690816326531,389.218658447266
494361.7,6407679.7,116.94,-32.4680612244898,389.967712402344
494361.6,6407792.9,116.94,-32.4670408163265,386.460418701172
494361.5,6407906,116.94,-32.4660204081633,382.835388183594
494361.5,6408019.1,116.94,-32.465,381.908843994141
494498.8,6402476.6,116.941428571429,-32.515,374.975799560547
494498.7,6402589.7,116.941428571429,-32.5139795918367,377.957214355469
494498.6,6402702.8,116.941428571429,-32.5129591836735,377.685272216797
494498.6,6402815.9,116.941428571429,-32.5119387755102,377.66650390625
494498.5,6402929.1,116.941428571429,-32.5109183673469,375.309631347656
494498.5,6403042.2,116.941428571429,-32.5098979591837,368.925506591797
494498.4,6403155.3,116.941428571429,-32.5088775510204,361.555755615234
494498.3,6403268.4,116.941428571429,-32.5078571428571,359.399993896484
494498.3,6403381.5,116.941428571429,-32.5068367346939,358.255737304688
494498.2,6403494.6,116.941428571429,-32.5058163265306,355.763732910156
494498.1,6403607.7,116.941428571429,-32.5047959183673,351.297180175781
494498.1,6403720.9,116.941428571429,-32.5037755102041,350.283020019531
494498,6403834,116.941428571429,-32.5027551020408,349.146209716797
494498,6403947.1,116.941428571429,-32.5017346938776,347.471221923828
494497.9,6404060.2,116.941428571429,-32.5007142857143,353.280731201172
494497.8,6404173.3,116.941428571429,-32.499693877551,352.836120605469
494497.8,6404286.4,116.941428571429,-32.4986734693878,357.308685302734
494497.7,6404399.5,116.941428571429,-32.4976530612245,363.252990722656
494497.6,6404512.7,116.941428571429,-32.4966326530612,369.894287109375
494497.6,6404625.8,116.941428571429,-32.495612244898,378.810760498047
494497.5,6404738.9,116.941428571429,-32.4945918367347,387.54052734375
494497.5,6404852,116.941428571429,-32.4935714285714,389.585174560547
494497.4,6404965.1,116.941428571429,-32.4925510204082,388.589599609375
494497.3,6405078.2,116.941428571429,-32.4915306122449,386.273590087891
494497.3,6405191.3,116.941428571429,-32.4905102040816,385.897521972656
494497.2,6405304.4,116.941428571429,-32.4894897959184,384.170745849609
494497.1,6405417.6,116.941428571429,-32.4884693877551,378.720825195312
494497.1,6405530.7,116.941428571429,-32.4874489795918,373.727935791016
494497,6405643.8,116.941428571429,-32.4864285714286,370.563049316406
494497,6405756.9,116.941428571429,-32.4854081632653,367.213134765625
494496.9,6405870,116.941428571429,-32.484387755102,362.990600585938
494496.8,6405983.1,116.941428571429,-32.4833673469388,361.598358154297
494496.8,6406096.2,116.941428571429,-32.4823469387755,362.360870361328
494496.7,6406209.4,116.941428571429,-32.4813265306123,363.531860351562
494496.6,6406322.5,116.941428571429,-32.480306122449,367.553436279297
494496.6,6406435.6,116.941428571429,-32.4792857142857,373.665863037109
494496.5,6406548.7,116.941428571429,-32.4782653061225,378.425415039062
494496.5,6406661.8,116.941428571429,-32.4772448979592,382.509735107422
494496.4,6406774.9,116.941428571429,-32.4762244897959,385.857543945312
494496.3,6406888,116.941428571429,-32.4752040816327,391.523651123047
494496.3,6407001.1,116.941428571429,-32.4741836734694,392.725921630859
494496.2,6407114.3,116.941428571429,-32.4731632653061,383.862762451172
494496.2,6407227.4,116.941428571429,-32.4721428571429,378.803314208984
494496.1,6407340.5,116.941428571429,-32.4711224489796,379.654449462891
494496,6407453.6,116.941428571429,-32.4701020408163,386.718292236328
494496,6407566.7,116.941428571429,-32.4690816326531,388.929077148438
494495.9,6407679.8,116.941428571429,-32.4680612244898,385.910736083984
494495.8,6407792.9,116.941428571429,-32.4670408163265,379.257934570312
494495.8,6407906,116.941428571429,-32.4660204081633,375.204956054688
494495.7,6408019.2,116.941428571429,-32.465,376.962524414062
494632.9,6402476.7,116.942857142857,-32.515,379.556701660156
494632.9,6402589.8,116.942857142857,-32.5139795918367,382.812194824219
494632.8,6402702.9,116.942857142857,-32.5129591836735,380.660827636719
494632.8,6402816,116.942857142857,-32.5119387755102,373.298034667969
494632.7,6402929.1,116.942857142857,-32.5109183673469,365.957092285156
494632.6,6403042.2,116.942857142857,-32.5098979591837,361.176452636719
494632.6,6403155.4,116.942857142857,-32.5088775510204,355.597839355469
494632.5,6403268.5,116.942857142857,-32.5078571428571,355.858276367188
494632.5,6403381.6,116.942857142857,-32.5068367346939,353.567718505859
