Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
33,Residual,NA,497217,6404808,116.970376,-32.4939784,B,B,57-80,57,80,68.5,27.6,70.5,7.9,21.6,1.976,0.160,0.020,8.000,5.60,5.08,66,3.27,0.49,0.2,0.26,1.82,4.52
34,Residual,NA,497345,6404634,116.971738,-32.4955484,B1,B,15-25,15,25,20,17.8,86.8,5.6,7.7,1.413,0.220,0.030,7.333,6.10,4.90,21.61,NA,NA,NA,NA,NA,NA
35,Upper_slope,NA,497367,6404511,116.971972,-32.496658,B1,B,15-35,15,35,25,32.1,90.9,5.4,3.7,1.543,0.330,0.040,8.250,6.30,5.11,13.58,1.54,0.03,1.65,0.02,0.32,0.02
36,Residual,NA,497377,6404936,116.97208,-32.4928241,B,B,18-45,18,45,31.5,28.8,87.9,5.5,6.6,NA,0.270,0.040,6.750,6.00,4.58,12.34,0.93,0.16,0.35,0.21,0.33,0.09
37,Mid-slope,Lower_slope,498834,6405514,116.987589,-32.4876124,B1,B,13-38,13,38,25.5,43.9,76.1,6.5,17.4,1.416,0.713,0.052,13.726,6.68,5.20,1267,0.26,0.1,0.16,0.005,0.19,0.17
38,Lower_slope,Mid-slope,498720,6405407,116.986376,-32.4885775,B1,B,33-62,33,62,47.5,8.0,NA,9.8,NA,1.704,0.070,0.010,7.000,5.81,4.88,751,4.55,0.01,2.74,0.22,3.04,0.86
39,Nonresid_upland,NA,498095,6405134,116.979723,-32.4910394,B1,B,12-52,12,52,32,29.9,49.4,10.5,40.1,1.475,1.120,0.110,10.182,6.96,5.99,54,12.84,0.01,7.67,1.01,2.69,0.17
40,Upper_slope,NA,498149,6404827,116.980297,-32.493809,B1,B,15-40,15,40,27.5,22.4,87.7,9.5,2.8,1.515,0.510,0.040,12.750,6.67,5.27,27.1,3.05,0.01,1.61,0.39,0.3,0.04
42,Residual,Upper_slope,498278,6405414,116.981671,-32.4885138,B1,B,16-30,16,30,23,9.2,50.4,21.7,27.9,1.340,1.790,0.060,29.833,4.28,3.96,1221,2.62,0.77,0.02,0.16,1.8,3.89
43,Upper_slope,NA,498349,6405394,116.982427,-32.4886943,B1,B,20-40,20,40,30,23.4,72.9,17.1,10.0,1.380,2.180,0.090,24.222,4.93,4.71,1696,3.31,0.03,0.02,0.05,4.35,3.29
44,Valley_floor,NA,499277,6404883,116.992304,-32.4933051,B,B,6-13,6,13,9.5,6.1,60.0,25.5,14.5,1.390,2.850,0.100,28.500,6.17,5.01,265,7.77,0.005,2.13,0.15,3.12,2.79
44,Valley_floor,NA,499277,6404883,116.992304,-32.4933051,B1,B,30-50,30,50,40,9.9,88.4,5.8,5.8,1.650,0.280,0.020,14.000,6.11,5.06,147.4,2.32,0.005,0.44,0.05,1.05,0.72
