Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Sand.corr,Silt.corr,Clay.corr,Gravel.clr,Sand.clr,Silt.clr,Clay.clr,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex,Al.clr,Ca.clr,K.clr,Mg.clr,Na.clr
9,2015,Residual,NA,Resid,RE,499579.785,6406484.146,116.995528,-32.4788615,B,B,20-40,20,40,30,35,56.35,70,5,25,30.5,2.2,10.9,1.374949972,0.761094415,-1.868174908,-0.267869479,NA,4.793487072,0.152123228,31.51055328,5.82,4.73,154.6,5.47,0.08,0.6,0.18,3.24,1.57,-1.900787895,0.114115126,-1.089857679,1.800514079,1.076016369
10,2015,Lower_slope,NA,Depos,LS,500015,6405982,117.00016,-32.4833911,Ap,A,0-10,0,10,5,5,17,83.13,7.25,9.63,69,6,8,0.098583129,1.49947629,-0.942870746,-0.655188673,1.405,2.415568352,0.118163295,20.44262857,5.13,4.71,157.7,4.84,0.02,3.88,0.2,0.64,0.29,-2.742065561,2.525792598,-0.439480468,0.723670342,-0.067916911
10,2015,Lower_slope,NA,Depos,LS,500015,6405982,117.00016,-32.4833911,B,B,10-20,10,20,15,15,42,80.07,9.45,10.48,46.4,5.5,6.1,0.965668133,1.065297974,-1.067253393,-0.963712714,1.651,0.588655055,0.040257603,14.62220827,5.83,4.92,63.7,3.64,0.01,2.41,0.09,0.43,0.15,-2.830254366,2.654542568,-0.633029788,0.93094575,-0.122204164
10,2015,Lower_slope,NA,Depos,LS,500015,6405982,117.00016,-32.4833911,B2,B2,20-60,20,60,40,50,18,77.82,14.17,8.01,63.8,11.6,6.6,0.044321834,1.309703267,-0.395044826,-0.958980275,NA,0.455825359,0.036420684,12.51556272,6.12,4.95,59.1,4.36,0.04,2.75,0.04,0.98,0.18,-1.78664545,2.443831286,-1.78664545,1.412027667,-0.282568053
11,2015,Valley_floor,NA,Depos,VF,499989,6406157,116.999883,-32.4818124,Ap,A,0-15,0,15,7.5,5,13,86.62,5.13,8.25,75.4,4.5,7.2,-0.026529406,1.731328511,-1.087401367,-0.617397738,1.596,1.436036706,0.092564762,15.51385949,5.27,4.09,30.9,4.18,0.04,2.44,0.21,0.74,0.37,-2.182299245,1.928574619,-0.524071168,0.735471487,0.042324307
11,2015,Valley_floor,NA,Depos,VF,499989,6406157,116.999883,-32.4818124,E,A2,15-30,15,30,22.5,25,16,87.14,8.53,4.33,73.2,7.2,3.6,0.192388969,1.712995667,-0.606118728,-1.299265908,1.701,0.149901256,0.010919637,13.72767752,5.37,4.45,92.3,1.26,0.02,0.4,0.03,0.2,0.08,-1.418015367,1.577716906,-1.012550259,0.884569726,-0.031721006
11,2015,Valley_floor,NA,Depos,VF,499989,6406157,116.999883,-32.4818124,B1,B,30-60,30,60,45,50,26,92.55,4.03,3.42,68.5,3,2.5,0.883138212,1.851875419,-1.276346037,-1.458667594,1.711,0.071658701,0.005992797,11.95747225,4.89,4.72,227.2,0.98,0.01,0.36,0.02,0.22,0.09,-1.91298663,1.670532309,-1.219839449,1.178055823,0.284237947
11,2015,Valley_floor,NA,Depos,VF,499989,6406157,116.999883,-32.4818124,B2,B2,60-100,60,100,80,90,11,90.54,3.3,6.3,80.6,2.9,5.6,0.004177459,1.995780835,-1.329007077,-0.670951217,1.794,NA,NA,NA,5.4,5.02,159.3,1.14,0.01,0.43,0.02,0.37,0.16,-2.167570786,1.593629329,-1.474423606,1.443347126,0.605017936
12,2015,Mid-slope,NA,Eros,MS,499969,6407026,116.99967,-32.4739731,Ap,A,0-25,0,25,12.5,15,31,81.5,8.63,9.82,56.2,6,6.8,0.641090694,1.236020246,-1.001137041,-0.875973899,1.305,3.962929249,0.26072675,15.19954991,5.43,4.79,87.1,5.02,0.03,3.54,0.39,0.69,0.17,-2.441145851,2.329538774,0.123803507,0.694348365,-0.706544795
12,2015,Mid-slope,NA,Eros,MS,499969,6407026,116.99967,-32.4739731,E,A2,25-30,25,30,27.5,25,37,84.79,12.83,2.38,53.4,8.1,1.5,1.089403456,1.456296289,-0.429650395,-2.116049349,NA,2.072476387,0.085857734,24.13849386,5.42,4.37,38,3,0.05,1.9,0.19,0.36,0.07,-1.456628098,2.180958062,-0.121627031,0.517452928,-1.120155861
12,2015,Mid-slope,NA,Eros,MS,499969,6407026,116.99967,-32.4739731,B1,B,30-100,30,100,65,70,36,80.43,9.94,9.63,51.5,6.4,6.2,0.782031931,1.140094801,-0.945189017,-0.976937715,NA,1.230622172,0.043526907,28.27267708,6.07,5.25,23.43,3.77,0.02,2.43,0.04,0.62,0.07,-2.035962323,2.76395194,-1.342815143,1.398024881,-0.783199355
13,2015,Upper_slope,NA,Eros,US,499814,6406782,116.998021,-32.4761742,Ap,A,0-10,0,10,5,5,5,68.86,17.46,13.68,65.4,16.6,13,-1.181640143,1.389444203,0.018324639,-0.226128698,1.078,4.585476398,0.263147116,17.42552407,6.45,5.68,121.8,6.25,0.04,4.15,0.47,1.1,0.33,-2.506047321,2.135936838,-0.04219408,0.808138684,-0.395834121
13,2015,Upper_slope,NA,Eros,US,499814,6406782,116.998021,-32.4761742,B1,B,10-30,10,30,20,25,13,73,17,10,63.5,14.8,8.7,-0.32853551,1.257555038,-0.198857687,-0.730161842,1.066,1.610995293,0.106433965,15.13610142,6,6.44,85.4,8.37,0.01,5.14,0.07,2.27,0.63,-3.551243632,2.690979634,-1.605333483,1.873706386,0.591891095
13,2015,Upper_slope,NA,Eros,US,499814,6406782,116.998021,-32.4761742,B2,B2,30-60,30,60,45,50,10,66.2,13.3,20.5,59.6,12,18.5,-0.645644419,1.139426062,-0.463322862,-0.03045878,1.398,0.686915934,0.034061641,20.16684822,6.1,5.65,97.5,7.15,0.01,3.35,0.02,2.73,0.86,-3.314219361,2.499911171,-2.62107218,2.295252434,1.140127935
13,2015,Upper_slope,NA,Eros,US,499814,6406782,116.998021,-32.4761742,B3,B3,60-100,60,100,80,90,10,76.97,9,14.03,69.3,8.1,12.6,-0.489062626,1.446797187,-0.699783657,-0.257950905,1.559,0.372828901,0.020038154,18.60595049,6.84,5.72,86.4,5.21,0.01,2.23,0.01,2,0.58,-2.95318643,2.453985342,-2.95318643,2.345130937,1.107256581
14,2015,Mid-slope,Upper_slope,Eros,MS,498263,6404666,116.98151,-32.4952615,Ap,A,0-10,0,10,5,5,22.35084712,84.97,6.44,8.59,65.9,5,6.7,0.405227197,1.486501416,-1.092199113,-0.799529499,1.27575,2.37,0.21,11.28571429,5.55,4.33,NA,5.13,0.02,3.92,0.59,0.6,0.1,-2.734628043,2.543486616,0.64976222,0.666569338,-1.125190131
14,2015,Mid-slope,Upper_slope,Eros,MS,498263,6404666,116.98151,-32.4952615,B,B,10-35,10,35,22.5,25,53.34778561,85.59,8.74,5.66,40,4.1,2.6,1.468779884,1.180826868,-1.097065612,-1.552541141,1.428163,0.44,0.05,8.8,6.56,4.62,NA,2.76,0.6,1.96,0.27,0.43,0.13,0.29545545,1.479225547,-0.503052246,-0.037688996,-1.233939755
