"Profile","Landform","subLandform","Easting","Northing","Latitude","Longitude","Horizon","Horiz.simp","Depth.range","Depth.upper","Depth.lower","Depth.mean","Gravel.pct","Sand.pct","Silt.pct","Clay.pct","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC","Al_ex","Ca_ex","K_ex","Mg_ex","Na_ex","LF5","Depth.cat"
16,"Mid-slope",NA,498400,6404356,116.982968,-32.4980583,"B1","B","35-54",35,54,44.5,59.87556904,79.37833216,14.08309023,6.538577608,"2.15",0.16,0.02,8,6.7,5.8,NA,2.01,0.005,0.81,0.03,1.35,0.28,"MS",50
16,"Mid-slope",NA,498400,6404356,116.982968,-32.4980583,"B2","B2","54-95",54,95,74.5,15.08090046,23.04492512,15.93475223,61.02032265,"2.29",0.18,0.03,6,6.3,5.9,NA,14.13,0.005,4.23,0.1,8.32,1.49,"MS",70
16,"Mid-slope",NA,498400,6404356,116.982968,-32.4980583,"B3","B3","95-105",95,105,100,49.60699746,45.80083072,11.73146508,42.4677042,"2.49",0.11,0.02,5.5,6.3,6.05,NA,8.24,0.02,4.21,0.27,3.39,0.5,"MS",100
17,"Sub_valley_floor",NA,499131,6404068,116.990749,-32.5006572,"Ap","A","0-10",0,10,5,0.1441,72.41666683,10.74999992,16.83333325,"1.054",4.38,0.33,13.27272727,5.4,5.3,NA,7.56,0.07,4.04,0.06,2.21,1.43,"VF",5
17,"Sub_valley_floor",NA,499131,6404068,116.990749,-32.5006572,"A","A","Oct-26",10,26,18,0.218,79.41666675,9.25,11.33333325,"1.368",0.42,0.02,21,6.48,5.7,NA,2.66,0.02,0.8,0.02,1.01,0.52,"VF",15
17,"Sub_valley_floor",NA,499131,6404068,116.990749,-32.5006572,"E","A2","26-30",26,30,28,0.27,62.91666675,13,24.08333325,NA,0.24,0.03,8,6.2,5.8,NA,3.28,0.02,0.59,0.02,1.4,0.39,"VF",25
17,"Sub_valley_floor",NA,499131,6404068,116.990749,-32.5006572,"B","B","30-50",30,50,40,0.15,42.91666675,9.75,47.33333325,"1.502",0.3,0.04,7.5,5.93,5.6,NA,9.5,0.01,2.31,0.06,5.81,1.41,"VF",50
18,"Sub_valley_floor",NA,498771,6403716,116.986917,-32.5038323,"Ap","A","0-14",0,14,7,6.373517787,61.91666675,17.25,20.83333325,"1.261",1.32,0.11,12,6.81,5.02,NA,3.94,0.14,2.4,0.03,0.35,0.23,"VF",5
18,"Sub_valley_floor",NA,498771,6403716,116.986917,-32.5038323,"A","A","14-22",14,22,18,12.60162602,61.41666675,18.25,20.33333325,NA,0.23,0.03,7.666666667,6.15,4.39,NA,2.05,0.32,0.79,0.03,0.21,0.07,"VF",15
18,"Sub_valley_floor",NA,498771,6403716,116.986917,-32.5038323,"E","A2","22-30",22,30,26,24.14829659,72.4,3.3,24.58333325,NA,0.08,0.02,4,6.05,4.33,NA,0.91,0.06,0.27,0.01,0.21,0.05,"VF",25
18,"Sub_valley_floor",NA,498771,6403716,116.986917,-32.5038323,"B","B","30-67",30,67,48.5,38.57785043,15.9,35.5,48.6,"1.552",0.19,0.03,6.333333333,5.85,4.29,NA,9.9,0.14,2.25,0.06,5.28,1.84,"VF",50
18,"Sub_valley_floor",NA,498771,6403716,116.986917,-32.5038323,"C","C","67-74",67,74,70.5,67.64705882,57.41666675,11.25,31.33333325,NA,0.16,0.03,5.333333333,6.1,4.1,NA,14.35,0.18,2.4,0.05,8.12,3.55,"VF",70
19,"Lower_slope",NA,499159,6403611,116.991047,-32.5047798,"Ap","A","0-8",0,8,4,2.997404893,91.04095563,2.509536238,6.449508131,"1.232643806",2.05,0.16,12.8125,6,5.75,NA,7.49,0.04,5.71,0.5,0.71,0.25,"LS",5
19,"Lower_slope",NA,499159,6403611,116.991047,-32.5047798,"A","A","Aug-25",8,25,16.5,5.09690064,84.92728742,8.331650172,6.741062412,"1.181907905",0.65,0.04,16.25,6.3,5.2,NA,5.67,0.02,3.89,0.5,0.64,0.03,"LS",15
19,"Lower_slope",NA,499159,6403611,116.991047,-32.5047798,"B1","B","25-55",25,55,40,4.677866524,53.22418136,8.564231738,38.2115869,"1.594812528",0.28,0.03,9.333333333,7.3,5.2,NA,3.87,0.02,2.83,0.07,0.44,0.03,"LS",50
19,"Lower_slope",NA,499159,6403611,116.991047,-32.5047798,"B2","B2","55-72",55,72,63.5,4.28417517,84.42112168,1.291407019,14.2874713,"1.438183854",0.24,0.03,8,7.1,5.53,NA,7.16,0.01,4.64,0.07,1.86,0.14,"LS",70
19,"Lower_slope",NA,499159,6403611,116.991047,-32.5047798,"B3","B3","72-80",72,80,76,0.114468864,66.22741588,1.926902039,31.84568208,"1.58797055",2.78,0.21,13.23809524,6.03,5.88,NA,14.11,0.01,8.59,0.06,5.11,0.36,"LS",70
20,"Lower_slope",NA,498296,6404061,116.98186,-32.5007194,"Ap","A","0-10",0,10,5,35.73050719,87.44695898,7.829864619,4.723176399,"1.532111937",2.78,0.21,13.23809524,5.8,5,63,8.25,0.01,5.84,0.42,0.65,0.08,"LS",5
20,"Lower_slope",NA,498296,6404061,116.98186,-32.5007194,"A","A","Oct-27",10,27,18.5,52.28963938,91.40130639,4.082465809,4.516227802,"1.735160803",3.97,0.11,36.09090909,6.5,5.09,509,7.72,0.01,6.29,0.45,0.7,0.09,"LS",15
20,"Lower_slope",NA,498296,6404061,116.98186,-32.5007194,"E","A2","27-60",27,60,43.5,44.91071429,94.81757877,2.342454395,2.839966833,"1.740739647",0.83,0.04,20.75,6.65,5.44,115,7.1,0.01,5.37,0.25,0.78,0.16,"LS",50
21,"Residual",NA,499746,6406602,116.997297,-32.477798,"A","A","Feb-14",2,14,8,11.68575948,89.253,7.248,3.499,"1.389206476",1.94,0.05,38.8,5.58,4.68,46,4.07,0.06,2.54,0.24,1.24,0.22,"RE",5
21,"Residual",NA,499746,6406602,116.997297,-32.477798,"B","B","14-42",14,42,28,4.866312813,75,25,0.1,"1.506935838",1.2,0.05,24,5,4.7,25.7,2.13,0.09,1.07,0.1,0.95,0.2,"RE",25
21,"Residual",NA,499746,6406602,116.997297,-32.477798,"C","C","42-80",42,80,61,77.68030768,98,0.1,2,"1.913212073",6.69,0.2,33.45,5.42,4.38,46.6,1.3,0.06,0.66,0.12,0.89,0.24,"RE",70
22,"Residual","Upper_slope",499399,6406493,116.993604,-32.478781,"A","A","0-6",0,6,3,18.16130052,65.704,17.272,17.025,"0.8216",7.42,0.24,30.91666667,3.78,3.83,4600,2.96,1.16,0.5,0.11,5.41,16.69,"RE",5
22,"Residual","Upper_slope",499399,6406493,116.993604,-32.478781,"B1","B","Dec-21",12,21,16.5,6.606068953,47.88,14.963,37.157,"0.989",2.57,0.05,51.4,4.04,4,3440,2.89,2.15,0.07,0.04,3.08,14.86,"RE",15
22,"Residual","Upper_slope",499399,6406493,116.993604,-32.478781,"B2","B2","28-40",28,40,34,4.061313328,40.595,12.428,46.976,"1.3197",0.63,0.02,31.5,4.01,3.8,2090,2.86,1.92,0.005,0.02,1.67,7.45,"RE",35
23,"Residual","Upper_slope",499753,6406606,116.997371,-32.4777619,"A","A","0.2-20",0.2,20,10.1,8.191060904,39.42,15.89,44.69,"1.305496702",3.41,0.1,34.1,4.21,3.91,1188,3.53,0.48,0.19,0.06,0.95,7.42,"RE",15
23,"Residual","Upper_slope",499753,6406606,116.997371,-32.4777619,"B1","B","20-40",20,40,30,60.52341898,45.83,34.036,20.134,"1.673915651",0.53,0.02,26.5,5.16,4.2,1427,3.61,1.29,0.05,0.03,0.8,4.61,"RE",35
23,"Residual","Upper_slope",499753,6406606,116.997371,-32.4777619,"B2","B2","40-80",40,80,60,27.84895939,64.43,17.043,18.525,"1.77913252",0.61,0.02,30.5,3.92,3.65,1294,2.74,0.98,0.06,0.08,0.74,5.71,"RE",70
24,"Residual","Upper_slope",499710,6406793,116.996914,-32.476075,"A","A","0-15",0,15,7.5,14.5906592,71.25,13,15.75,"1.0909",5.18,0.17,30.47058824,4.95,4.5,1090,3.91,0.06,0.48,0.13,3.4,9.97,"RE",5
