Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
40,Upper_slope,NA,US,Erosional,498149,6404827,116.9803,-32.49381,A,A,0-15,0,15,7.5,14,82.9,6.1,11,1.385,2.66,0.25,10.64,5.9,5.15,191.1,7.18,0.02,4.95,1.04,0.87,0.09
41,Residual,NA,RE,Residual,498226,6405423,116.98112,-32.48843,A,A,0-50,0,50,25,25.4,78.3,10.3,11.4,0.57,0.46,0.02,23,5.83,4.87,39.3,11.02,0.02,6.26,1.97,1.56,0.14
42,Residual,Upper_slope,RE,Residual,498278,6405414,116.98167,-32.48851,A,A,0-16,0,16,8,19.7,61.4,27.1,11.6,0.53,2.1,0.62,3.39,4.52,4.26,2087,3.27,0.49,0.2,0.26,1.82,4.52
43,Upper_slope,NA,US,Erosional,498349,6405394,116.98243,-32.48869,A,A,0-20,0,20,10,17.3,77.1,11.9,11,1.04,2.8,0.2,14,4.25,4.23,805,2.39,0.13,0.01,0.07,4.95,4.47
44,Valley_floor,NA,VF,Depositional,499277,6404883,116.9923,-32.49331,A,A,0-6,0,6,3,45.6,69.5,17.9,12.6,NA,3.1,0.11,28.18,5.89,4.9,85.9,13.8,0.04,4.55,0.42,9.77,7.18
45,Mid-slope,NA,MS,Erosional,498997,6404745,116.98932,-32.49455,A,A,0-15,0,15,7.5,10.3,88.5,6.1,5.4,1.34,1.45,0.11,13.18,5.62,4.71,87.3,3.71,0.06,2.59,0.1,0.38,0.08
46,Mid-slope,Lower_slope,MS,Erosional,498808,6404333,116.98731,-32.49827,A,A,Feb-30,2,30,16,14.9,88.3,6.1,5.6,1.468,1.53,0.13,11.77,5.65,5.6,187.1,NA,NA,NA,NA,NA,NA
47,Lower_slope,Mid-slope,LS,Depositonal,499548,6404154,116.99519,-32.49988,A,A,0-5,0,5,2.5,9.3,75.8,9.9,14.2,NA (horizon too shallow),2.63,0.23,11.43,6.01,5.34,188.4,1.5,0.18,1.3,0.01,0.29,0.4
48,Lower_slope,NA,LS,Depositonal,499521,6404045,116.9949,-32.50086,A,A,0-5,0,5,2.5,5.3,87.8,7.1,5.1,NA (horizon too shallow),2.2,0.21,10.48,6.7,5.66,375,3.69,0.005,3.42,0.14,0.67,0.06
49,Valley_floor,NA,VF,Depositional,497927,6406410,116.97794,-32.47953,A,A,0-15,0,15,7.5,11.2,93.2,4.8,2.1,1.326,1.93,0.21,9.19,5.7,4.6,92,3.19,0.005,0.34,0.05,3.08,1.1
50,Valley_floor,NA,VF,Depositional,497283,6403755,116.97108,-32.50348,A,A,0-24,0,24,12,10.7,85,5.2,9.8,1.426,1.21,0.08,15.13,4.97,4.11,84.3,11.99,0.02,4.64,0.13,7.38,4.88
51,Lower_slope,NA,LS,Depositonal,497514,6403540,116.97353,-32.50542,Ap,A,0-15,0,15,7.5,11,89.2,3.5,7.3,1.514,1.4,0.09,15.56,5.39,4.2,153,11.77,0.005,7.36,1.59,2.53,0.85
52,Valley_floor,NA,VF,Depositional,498807,6403228,116.9873,-32.50823,A,A,0-25,0,25,12.5,4.4,88.4,4.9,6.7,1.49,1.63,0.14,11.64,NA,NA,NA,3.6,0.05,2.15,0.08,1.2,0.15
53,Lower_slope,NA,LS,Depositonal,498186,6404070,116.98069,-32.50064,A,A,0-15,0,15,7.5,9.1,87.4,6.5,6.1,1.38,1.35,0.1,13.5,NA,NA,NA,0.67,0.02,0.69,0.005,0.17,0.02
54,Valley_floor,NA,VF,Depositional,496001,6403978,116.95743,-32.50146,A,A,0-10,0,10,5,7.7,93,4.7,2.2,1.462,2.01,0.16,12.56,5.45,4.54,763,4.44,0.12,2.82,0.03,0.76,0.23
55,Lower_slope,NA,LS,Depositonal,497352,6403626,116.97181,-32.50464,A,A,0-15,0,15,7.5,9.9,86,6.6,7.4,1.585,1.56,0.12,13,5.3,4.91,154,4.03,0.07,3.38,0.06,0.61,0.09
56,Valley_floor,NA,VF,Depositional,495711,6403941,116.95434,-32.50179,A,A,0-14,0,14,7,1.9,82.6,8.7,8.7,1.321,3.17,0.29,10.93,6.52,5.24,223.3,13.16,0.04,2.55,0.28,8.43,8.91
57,Sub_valley_floor,NA,VF,Depositional,495765,6404195,116.95492,-32.4995,A,A,0-15,0,15,7.5,19.6,72.4,11.9,15.7,1.44,2.91,0.23,12.65,6.62,6.19,1577,13.16,0.04,2.55,0.28,8.43,8.91
58,Lower_slope,NA,LS,Depositonal,496884,6403490,116.96683,-32.50587,A,A,0-10,0,10,5,8.4,94,0.5,5.5,1.619,2.2,0.15,14.67,5.83,5.2,225.9,4.52,0.03,3.78,0.05,0.68,0.16
59,Lower_slope,NA,LS,Depositonal,497268,6404131,116.97092,-32.50009,A,A,0-5,0,5,2.5,8.8,89.9,3.8,6.3,1.453,1.88,0.14,13.43,6.76,5.9,108.5,4.52,0.005,3.52,0.14,0.57,0.08
60,Lower_slope,NA,LS,Depositonal,496653,6404196,116.96437,-32.4995,A,A,0-17,0,17,8.5,11.6,91.2,5,3.8,1.538,1.6,0.11,14.55,5.43,4.61,107.8,2.8,0.07,2.13,0.07,0.33,0.05
61,Sub_valley_floor,NA,VF,Depositional,496840,6404334,116.96636,-32.49825,A,A,0-20,0,20,10,7.8,75.2,11.4,13.4,1.156,4.21,0.27,15.59,5.24,4.8,144.7,7.43,0.03,5,0.13,1.41,0.21
62,Lower_slope,Sub_valley_floor,LS,Depositonal,495983,6404204,116.9572,-32.49942,A1,A,0-18,0,18,9,7.4,83.4,10.3,6.3,1.149,1.17,0.09,12.58,5.6,4.54,92.3,4.2,0.005,2.7,0.6,0.5,0.1
63,Lower_slope,NA,LS,Depositonal,496419,6404110,116.9619,-32.50027,A,A,0-17,0,17,8.5,5,91.5,4.3,4.3,1.38,1.31,0.11,12.15,4.65,4.05,217.2,2,0.1,1.8,0.1,0.3,0.1
