Profile,Easting,Northing,Latitude,Longitude,Horizon,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.µS.cm
62,495983,6404204,116.9572,-32.4994,A1,0-18,0,18,9,7.35,83.4,10.3,6.3,1.149,1.17,0.093,12.58064516,5.6,4.54,92.3
63,496419,6404110,116.9619,-32.5003,A,0-17,0,17,8.5,5.03,91.49,4.25,4.25,1.3795,1.309687495,0.107828781,12.14599185,4.65,4.05,217.2
64,495625,6403350,116.9534,-32.5071,A,0-15,0,15,7.5,5.636743215,90.2,4.5,5.3,1.38,1.748999834,0.146867096,11.9087248,4.85,4.1,155.2
65,496030,6403765,116.9577,-32.5034,A,0-19,0,19,9.5,8.840083201,87.4,5.7,6.9,1.3,1.32996726,0.105905071,12.55810745,5.79,4.73,102.4
66,496610,6403404,116.9639,-32.5066,A,0-5,0,5,2.5,5.81,85.179,9.546,5.275,1.29,1.57,0.12,13.08333333,5.72,5.26,271.5
67,496759,6403845,116.9655,-32.5027,A,0-5,0,5,2.5,1.82,78.3,2.49,19.2,1.091,5.810021877,0.507,11.45960923,6.38,5.11,593
68,496967,6403448,116.9677,-32.5063,A,0-16,0,16,8,4.63,87.2,5.396,7.404,1.33,1.785010934,0.126123399,14.15289276,5.79,5.01,103.8
69,497263,6404153,116.9709,-32.4999,A,0-15,0,15,7.5,8.85,90.53,3.99,5.48,1.346063992,1.014754534,0.060304698,16.8271225,4.96,4.82,242
70,499413,6404060,116.9938,-32.5007,A,0-10,0,10,5,0.033,93.23,3.95,2.82,1.28,2.169188499,0.208244428,10.41655001,6.49,5.32,275
71,499377,6404113,116.9934,-32.5003,A,0-15,0,15,7.5,0.100158423,76.9,14.13,8.99,1.354,2.60015893,0.213789359,12.16224673,5.3,4.62,44.3
72,499214,6403703,116.9916,-32.504,A,0-13,0,13,6.5,0.07,99.7,0.1,0.21,1.49,2.195195913,0.206362158,10.63758944,5.26,4.8,319
73,498861,6403134,116.9879,-32.5091,A,0-14,0,14,7,0.07,76.23,9.76,14.01,1.257,2.781865597,0.274454772,10.13597094,5.4,4.84,298
74,498125,6403345.5,116.98,-32.5072,A,0-17,0,17,8.5,10.85,85.03,4.59,10.38,1.52,0.701,0.067,10.46268657,6.1,5.74,4620
75,498350,6403540,116.9824,-32.5054,A1,0-10,0,10,5,29.78,82.025,6.402,11.573,1.257,2.58,0.21,12.28571429,5.61,4.73,87.9
76,498036,6403443,116.9791,-32.5063,A,0-13,0,13,6.5,6.54,75.62,9.9,14.48,1.429562712,2.550177813,0.195014581,13.07685712,5.32,4.7,333
77,497749,6403736,116.976,-32.5037,A,0-10,0,10,5,93.50992796,91.4,5.1,3.7,1.590372881,0.883511305,0.061252698,14.42403893,5.29,4.63,87.4
