OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,11,499989.0,6406157.0,116.999883,-32.4818124,B2,NA,60-100,60.0,100.0,80.0,11.0,90.5,3.3,6.3,1.8,NA,NA,NA,5.4,5.0,159.3,1.1,0.0,0.4,0.0,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,12,499969.0,6407026.0,116.99967,-32.4739731,AP,A,0-25,0.0,25.0,12.5,31.0,81.5,8.6,9.8,1.3,4.0,0.3,15.2,5.4,4.8,87.1,5.0,0.0,3.5,0.4,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,12,499969.0,6407026.0,116.99967,-32.4739731,E,NA,25-30,25.0,30.0,27.5,37.0,84.8,12.8,2.4,NA,2.1,0.1,24.1,5.4,4.4,38.0,3.0,0.1,1.9,0.2,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,12,499969.0,6407026.0,116.99967,-32.4739731,B1,NA,30-100,30.0,100.0,65.0,36.0,80.4,9.9,9.6,NA,1.2,0.0,28.3,6.1,5.3,23.4,3.8,0.0,2.4,0.0,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,13,499814.0,6406782.0,116.998021,-32.4761742,AP,A,0-10,0.0,10.0,5.0,5.0,68.9,17.5,13.7,1.1,4.6,0.3,17.4,6.5,5.7,121.8,6.3,0.0,4.2,0.5,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,13,499814.0,6406782.0,116.998021,-32.4761742,B1,NA,10-30,10.0,30.0,20.0,13.0,73.0,17.0,10.0,1.1,1.6,0.1,15.1,6.0,6.4,85.4,8.4,0.0,5.1,0.1,2.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,13,499814.0,6406782.0,116.998021,-32.4761742,B2,NA,30-60,30.0,60.0,45.0,10.0,66.2,13.3,20.5,1.4,0.7,0.0,20.2,6.1,5.7,97.5,7.2,0.0,3.4,0.0,2.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,13,499814.0,6406782.0,116.998021,-32.4761742,B3,NA,60-100,60.0,100.0,80.0,10.0,77.0,9.0,14.0,1.6,0.4,0.0,18.6,6.8,5.7,86.4,5.2,0.0,2.2,0.0,2.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,14,498263.0,6404666.0,116.98151,-32.4952615,AP,A,0-10,0.0,10.0,5.0,22.4,85.0,6.4,8.6,1.3,2.4,0.2,11.3,5.6,4.3,NA,5.1,0.0,3.9,0.6,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,14,498263.0,6404666.0,116.98151,-32.4952615,B,NA,10-35,10.0,35.0,22.5,53.3,85.6,8.7,5.7,1.4,0.4,0.1,8.8,6.6,4.6,NA,2.8,0.6,2.0,0.3,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,14,498263.0,6404666.0,116.98151,-32.4952615,C,NA,35-70,35.0,70.0,52.5,44.7,86.1,11.7,2.2,1.5,0.1,0.0,5.0,7.0,5.1,NA,1.7,0.0,1.0,0.1,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,15,498715.0,6404659.0,116.986322,-32.4953253,AP,A,0-15,0.0,15.0,7.5,35.0,78.6,12.0,9.7,1.1,0.3,0.0,8.3,6.2,6.0,NA,2.0,0.0,0.8,0.0,1.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,15,498715.0,6404659.0,116.986322,-32.4953253,E,NA,15-55,15.0,55.0,35.0,32.0,79.8,10.0,10.2,1.2,1.3,0.1,14.6,6.4,5.6,NA,3.5,0.1,1.5,0.0,1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,15,498715.0,6404659.0,116.986322,-32.4953253,B,NA,55-60,55.0,60.0,57.5,8.0,73.3,3.0,23.7,1.1,0.4,0.0,9.0,6.5,5.7,NA,3.8,0.0,3.6,0.0,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,16,498400.0,6404356.0,116.982968,-32.4980583,AP,A,0-20,0.0,20.0,10.0,31.0,79.9,6.8,13.3,1.3,2.4,0.2,12.0,6.2,5.8,NA,13.6,0.0,4.3,0.2,8.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,16,498400.0,6404356.0,116.982968,-32.4980583,E,NA,20-35,20.0,35.0,27.5,55.8,78.8,18.1,3.1,2.3,0.3,0.0,8.5,6.4,5.8,NA,2.3,0.0,1.0,0.1,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,16,498400.0,6404356.0,116.982968,-32.4980583,B1,NA,35-54,35.0,54.0,44.5,59.9,79.4,14.1,6.5,2.2,0.2,0.0,8.0,6.7,5.8,NA,2.0,0.0,0.8,0.0,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,16,498400.0,6404356.0,116.982968,-32.4980583,B2,NA,54-95,54.0,95.0,74.5,15.1,23.0,15.9,61.0,2.3,0.2,0.0,6.0,6.3,5.9,NA,14.1,0.0,4.2,0.1,8.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,16,498400.0,6404356.0,116.982968,-32.4980583,B3,NA,95-105,95.0,105.0,100.0,49.6,45.8,11.7,42.5,2.5,0.1,0.0,5.5,6.3,6.1,NA,8.2,0.0,4.2,0.3,3.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
