OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,50,497283.0,6403755.0,116.971076,-32.5034778,A,A,0-24,0.0,24.0,12.0,10.7,85.0,5.2,9.8,1.4,1.2,0.1,15.1,5.0,4.1,84.3,12.0,0.0,4.6,0.1,7.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,50,497283.0,6403755.0,116.971076,-32.5034778,B,NA,24-45,24.0,45.0,34.5,10.6,81.6,8.5,9.9,1.5,0.3,0.0,9.3,5.2,4.2,82.5,1.1,0.0,0.4,0.0,0.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,50,497283.0,6403755.0,116.971076,-32.5034778,B2,NA,45-80,45.0,80.0,62.5,27.0,57.8,4.8,37.4,1.6,0.3,0.0,6.3,4.7,4.1,384.0,11.4,0.0,2.5,0.1,7.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,51,497514.0,6403540.0,116.973534,-32.5054179,AP (ploughing),A,0-15,0.0,15.0,7.5,11.0,89.2,3.5,7.3,1.5,1.4,0.1,15.6,5.4,4.2,153.0,11.8,0.0,7.4,1.6,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,51,497514.0,6403540.0,116.973534,-32.5054179,A,NA,15-23,15.0,23.0,19.0,10.3,86.9,6.0,7.1,1.5,0.5,0.0,12.8,5.4,4.4,45.0,8.5,0.0,3.6,0.0,4.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,51,497514.0,6403540.0,116.973534,-32.5054179,A/B,NA,23-37,23.0,37.0,30.0,12.7,88.7,4.5,6.8,1.5,0.2,0.0,6.7,5.4,4.4,46.7,1.8,0.1,1.4,0.1,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,51,497514.0,6403540.0,116.973534,-32.5054179,B,NA,37-76,37.0,76.0,56.5,11.9,85.2,5.2,9.6,1.6,0.1,0.0,7.0,5.5,4.4,57.4,2.3,0.0,1.7,0.1,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,51,497514.0,6403540.0,116.973534,-32.5054179,B2,NA,76-100,76.0,100.0,88.0,14.8,65.6,7.8,26.6,1.6,0.2,0.0,8.5,5.8,4.7,73.1,3.6,0.0,2.4,0.1,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,52,498807.0,6403228.0,116.987299,-32.5082346,A,A,0-25,0.0,25.0,12.5,4.4,88.4,4.9,6.7,1.5,1.6,0.1,11.6,NA,NA,NA,3.6,0.1,2.2,0.1,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,52,498807.0,6403228.0,116.987299,-32.5082346,E,NA,26-68,26.0,68.0,47.0,5.6,91.7,4.2,4.3,1.6,0.1,0.0,7.0,NA,NA,NA,3.2,0.0,3.1,0.1,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,52,498807.0,6403228.0,116.987299,-32.5082346,E/B,NA,69-74,69.0,74.0,71.5,60.2,72.0,4.3,23.8,1.6,0.1,0.0,4.7,NA,NA,NA,1.5,0.0,1.6,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,53,498186.0,6404070.0,116.980689,-32.500638,A,A,0-15,0.0,15.0,7.5,9.1,87.4,6.5,6.1,1.4,1.4,0.1,13.5,NA,NA,NA,0.7,0.0,0.7,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,53,498186.0,6404070.0,116.980689,-32.500638,E,NA,16-19,16.0,19.0,17.5,15.4,92.0,3.6,4.3,1.8,0.3,0.0,13.0,NA,NA,NA,1.2,0.0,0.6,0.0,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,53,498186.0,6404070.0,116.980689,-32.500638,B,NA,20-32,20.0,32.0,26.0,38.6,87.0,9.0,4.0,1.7,0.1,0.0,7.0,NA,NA,NA,0.4,0.1,0.4,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,53,498186.0,6404070.0,116.980689,-32.500638,C,NA,33-54,33.0,54.0,43.5,46.3,84.0,9.6,6.4,1.8,0.2,0.0,8.0,NA,NA,NA,0.9,0.2,0.3,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,54,496001.0,6403978.0,116.957429,-32.5014622,A,A,0-10,0.0,10.0,5.0,7.7,93.0,4.7,2.2,1.5,2.0,0.2,12.6,5.5,4.5,763.0,4.4,0.1,2.8,0.0,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,54,496001.0,6403978.0,116.957429,-32.5014622,A2,NA,10-20,10.0,20.0,15.0,11.6,88.7,3.8,7.5,1.6,0.4,0.0,11.0,6.0,4.6,692.0,3.0,0.1,1.9,0.0,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,54,496001.0,6403978.0,116.957429,-32.5014622,B1,NA,20-50,20.0,50.0,35.0,14.0,90.8,4.3,4.8,1.7,0.1,0.0,2.3,6.8,5.0,747.0,1.4,0.0,0.6,0.0,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,54,496001.0,6403978.0,116.957429,-32.5014622,B2,NA,50-80,50.0,80.0,65.0,13.9,37.5,5.3,57.2,1.9,0.2,0.0,10.5,7.7,5.6,108.3,14.0,0.0,1.8,0.0,9.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,55,497352.0,6403626.0,116.97181,-32.5046417,A,A,0-15,0.0,15.0,7.5,9.9,86.0,6.6,7.4,1.6,1.6,0.1,13.0,5.3,4.9,154.0,4.0,0.1,3.4,0.1,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,55,497352.0,6403626.0,116.97181,-32.5046417,A2,NA,15-30,15.0,30.0,22.5,22.8,86.5,7.7,5.7,1.7,0.3,0.0,8.5,5.4,4.3,23.2,1.7,0.2,1.2,0.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,55,497352.0,6403626.0,116.97181,-32.5046417,B1,NA,30-65,30.0,65.0,47.5,30.5,51.5,11.3,37.2,1.5,0.5,0.1,9.2,5.8,5.0,70.2,7.6,0.0,3.5,0.0,3.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,56,495711.0,6403941.0,116.954342,-32.5017949,A,A,0-14,0.0,14.0,7.0,1.9,82.6,8.7,8.7,1.3,3.2,0.3,10.9,6.5,5.2,223.3,13.2,0.0,2.5,0.3,8.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,56,495711.0,6403941.0,116.954342,-32.5017949,A2,NA,14-20,14.0,20.0,17.0,8.1,81.8,5.7,12.5,1.4,1.0,0.1,16.3,7.2,5.6,139.1,2.8,0.1,0.6,0.1,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,56,495711.0,6403941.0,116.954342,-32.5017949,B1,NA,20-42,20.0,42.0,31.0,6.5,97.8,0.2,2.0,1.4,0.1,0.0,11.0,7.2,5.8,44.3,5.4,0.0,0.8,0.1,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,56,495711.0,6403941.0,116.954342,-32.5017949,B2,NA,42-60,42.0,60.0,51.0,5.9,86.9,5.0,8.1,1.7,1.9,0.0,48.0,7.8,6.4,288.0,4.4,0.0,0.6,0.1,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,57,495765.0,6404195.0,116.954918,-32.4995038,A,A,0-15,0.0,15.0,7.5,19.6,72.4,11.9,15.7,1.4,2.9,0.2,12.7,6.6,6.2,1577.0,13.2,0.0,2.5,0.3,8.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,57,495765.0,6404195.0,116.954918,-32.4995038,A2,NA,15-30,15.0,30.0,22.5,30.4,80.2,11.1,8.7,1.6,0.4,0.0,14.7,7.1,7.2,513.0,2.8,0.1,0.6,0.1,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,57,495765.0,6404195.0,116.954918,-32.4995038,B1,NA,30-40,30.0,40.0,35.0,12.9,67.0,4.3,28.7,1.6,0.2,0.0,8.5,7.3,6.7,650.0,5.4,0.0,0.8,0.1,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,57,495765.0,6404195.0,116.954918,-32.4995038,B2,NA,40-60,40.0,60.0,50.0,29.0,74.9,4.5,20.6,1.7,0.1,0.0,10.0,672.0,6.5,7.3,4.4,0.0,0.6,0.1,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,58,496884.0,6403490.0,116.966827,-32.5058673,A,A,0-10,0.0,10.0,5.0,8.4,94.0,0.5,5.5,1.6,2.2,0.2,14.7,5.8,5.2,225.9,4.5,0.0,3.8,0.0,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,58,496884.0,6403490.0,116.966827,-32.5058673,B1,NA,10-40,10.0,40.0,25.0,12.4,88.6,9.6,2.2,1.8,0.7,0.0,17.5,5.6,4.6,72.3,2.3,0.1,1.0,0.0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,58,496884.0,6403490.0,116.966827,-32.5058673,B2,NA,40-70,40.0,70.0,55.0,4.9,27.5,6.8,65.7,1.6,0.2,0.0,5.0,5.2,4.3,61.4,7.0,0.4,0.9,0.1,3.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,59,497268.0,6404131.0,116.970917,-32.5000858,A,A,0-5,0.0,5.0,2.5,8.8,89.9,3.8,6.3,1.5,1.9,0.1,13.4,6.8,5.9,108.5,4.5,0.0,3.5,0.1,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,59,497268.0,6404131.0,116.970917,-32.5000858,A2,NA,5-20,5.0,20.0,12.5,4.3,89.4,4.3,6.2,1.6,1.4,0.1,15.1,5.0,4.3,66.5,1.9,0.2,1.3,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,59,497268.0,6404131.0,116.970917,-32.5000858,B1,NA,20-50,20.0,50.0,35.0,10.9,87.8,5.2,7.0,1.7,0.2,0.0,9.0,5.0,4.1,17.8,1.1,0.3,0.3,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,59,497268.0,6404131.0,116.970917,-32.5000858,B2,NA,50-80,50.0,80.0,65.0,13.2,65.3,8.0,26.7,1.8,0.2,0.0,8.0,5.2,4.3,38.1,3.2,0.3,0.6,0.0,1.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,60,496653.0,6404196.0,116.964371,-32.4994978,A,A,0-17,0.0,17.0,8.5,11.6,91.2,5.0,3.8,1.5,1.6,0.1,14.5,5.4,4.6,107.8,2.8,0.1,2.1,0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,60,496653.0,6404196.0,116.964371,-32.4994978,A2,NA,17-37,17.0,37.0,27.0,15.7,92.0,4.5,3.5,1.7,0.3,0.0,13.0,5.7,4.4,16.8,1.5,0.2,0.6,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,60,496653.0,6404196.0,116.964371,-32.4994978,B1,NA,37-53,37.0,53.0,45.0,51.3,93.0,4.2,2.2,1.7,0.1,0.0,12.0,5.9,4.7,10.9,1.0,0.0,0.5,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,60,496653.0,6404196.0,116.964371,-32.4994978,B2,NA,53-72,53.0,72.0,62.5,8.8,NA,NA,NA,1.8,0.1,0.0,8.0,5.5,4.9,21.9,2.7,0.1,0.8,0.0,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,60,496653.0,6404196.0,116.964371,-32.4994978,B3,NA,72-95,72.0,95.0,83.5,15.4,NA,NA,NA,1.7,0.1,0.0,9.0,6.5,5.1,22.4,6.2,0.0,1.7,0.0,3.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,61,496840.0,6404334.0,116.966362,-32.4982534,A,A,0-20,0.0,20.0,10.0,7.8,75.2,11.4,13.4,1.2,4.2,0.3,15.6,5.2,4.8,144.7,7.4,0.0,5.0,0.1,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,61,496840.0,6404334.0,116.966362,-32.4982534,B1,NA,20-35,20.0,35.0,27.5,16.3,90.1,5.2,4.7,1.6,0.4,0.1,3.6,6.1,4.8,179.9,3.3,0.1,1.6,0.1,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,61,496840.0,6404334.0,116.966362,-32.4982534,B2,NA,35-65,35.0,65.0,50.0,10.6,91.2,6.4,2.4,1.7,0.1,0.0,13.1,6.2,5.0,85.6,1.5,0.0,0.5,0.0,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,61,496840.0,6404334.0,116.966362,-32.4982534,B3,NA,65-80,65.0,80.0,72.5,9.6,83.8,8.5,7.7,1.7,0.1,0.0,12.9,6.4,4.9,90.8,2.1,0.1,0.5,0.0,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,62,495983.0,6404204.0,,,A1,A,0-18,0.0,18.0,9.0,7.4,83.4,10.3,6.3,1.1,1.2,0.1,12.6,5.6,4.5,92.3,4.2,0.0,2.7,0.6,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,62,495983.0,6404204.0,,,A2,NA,18-34,18.0,34.0,26.0,10.6,89.5,6.7,3.8,1.4,0.3,0.0,13.2,5.2,4.5,14.6,3.3,0.0,2.2,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,62,495983.0,6404204.0,,,B1,NA,34-74,34.0,74.0,54.0,27.9,90.9,6.3,2.8,1.4,0.2,0.0,9.8,6.3,5.1,16.0,2.3,0.0,1.4,0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,62,495983.0,6404204.0,,,B2,NA,74-95,74.0,95.0,84.5,0.2,55.7,26.4,17.9,1.5,0.3,0.0,8.7,7.4,6.2,3.5,5.4,0.1,3.9,0.1,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,63,496419.0,6404110.0,,,A,A,0-17,0.0,17.0,8.5,5.0,91.5,4.3,4.3,1.4,1.3,0.1,12.1,4.7,4.1,217.2,2.0,0.1,1.8,0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,63,496419.0,6404110.0,,,E,NA,17-36,17.0,36.0,26.5,10.5,92.2,4.5,3.3,1.6,0.3,0.0,11.0,4.8,3.8,66.2,0.6,0.3,0.6,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,63,496419.0,6404110.0,,,B1,NA,36-52,36.0,52.0,44.0,9.0,91.9,5.3,2.8,1.6,0.1,0.0,10.6,5.6,4.7,16.8,0.4,0.0,0.6,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,63,496419.0,6404110.0,,,B2,NA,52-78,52.0,78.0,65.0,26.7,88.0,7.1,4.8,1.6,0.1,0.0,9.8,6.4,5.3,21.0,1.3,0.1,0.9,0.0,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,63,496419.0,6404110.0,,,B3,NA,78-95,78.0,95.0,86.5,6.8,71.9,9.2,18.9,1.9,0.1,0.0,7.6,5.8,4.7,31.0,3.6,0.1,1.1,0.0,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,64,495625.0,6403350.0,,,A,A,0-15,0.0,15.0,7.5,5.6,90.2,4.5,5.3,1.4,1.7,0.1,11.9,4.9,4.1,155.2,3.7,0.1,2.6,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,64,495625.0,6403350.0,,,E,NA,15-43,15.0,43.0,29.0,8.5,88.0,12.0,0.0,1.5,0.2,0.0,7.3,6.1,4.6,23.9,1.1,0.0,0.7,0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,64,495625.0,6403350.0,,,B1,NA,43-59,43.0,59.0,51.0,14.8,49.1,5.7,45.2,1.5,0.2,0.0,4.6,6.5,5.8,155.5,6.4,0.1,1.3,0.0,3.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,64,495625.0,6403350.0,,,B2,NA,59-87,59.0,87.0,73.0,12.5,44.3,5.2,50.5,1.6,0.2,0.0,6.7,5.5,5.1,112.4,6.3,0.0,1.4,0.1,3.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,65,496030.0,6403765.0,,,A,A,0-19,0.0,19.0,9.5,8.8,87.4,5.7,6.9,1.3,1.3,0.1,12.6,5.8,4.7,102.4,2.3,0.1,1.4,0.1,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,65,496030.0,6403765.0,,,E,NA,19-34,19.0,34.0,26.5,15.6,93.0,6.5,0.5,1.4,0.2,0.0,7.8,5.3,4.8,17.2,0.7,0.1,0.6,0.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,65,496030.0,6403765.0,,,B,NA,34-50,34.0,50.0,42.0,34.8,51.0,8.8,40.3,NA,0.3,0.0,9.3,5.4,4.4,63.2,5.8,0.4,1.7,0.0,2.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,66,496610.0,6403404.0,,,A,A,0-5,0.0,5.0,2.5,5.8,85.2,9.5,5.3,1.3,1.6,0.1,13.1,5.7,5.3,271.5,6.1,0.0,5.3,0.2,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,66,496610.0,6403404.0,,,B1,NA,5-20,5.0,20.0,12.5,6.0,89.9,5.8,4.3,1.5,0.4,0.0,13.3,5.2,4.4,18.3,2.4,0.1,1.5,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,66,496610.0,6403404.0,,,B2,NA,20-50,20.0,50.0,35.0,16.7,92.1,4.1,3.8,1.7,0.3,0.0,15.0,5.8,4.8,27.6,3.3,0.0,2.2,0.0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,66,496610.0,6403404.0,,,B3,NA,50-90,50.0,90.0,70.0,18.2,93.2,2.0,4.8,1.8,0.1,0.0,9.0,6.0,5.3,14.7,6.1,0.0,3.1,0.1,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,67,496759.0,6403845.0,,,A,A,0-5,0.0,5.0,2.5,1.8,78.3,2.5,19.2,1.1,5.8,0.5,11.5,6.4,5.1,593.0,12.7,0.0,6.0,0.3,6.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,67,496759.0,6403845.0,,,B,NA,5-31,5.0,31.0,18.0,5.2,80.4,5.7,14.3,1.5,2.2,0.2,12.6,6.6,4.7,132.4,7.6,0.0,3.0,0.1,3.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,67,496759.0,6403845.0,,,B2,NA,31-38,31.0,38.0,34.5,14.4,85.7,10.2,4.2,1.7,0.2,0.0,9.3,6.7,5.9,49.1,2.8,0.0,0.8,0.1,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,67,496759.0,6403845.0,,,Fossillised A,NA,38-42,38.0,42.0,40.0,11.1,3.1,49.2,47.7,1.5,0.3,0.0,7.5,6.4,5.7,141.0,10.8,0.0,3.1,0.2,5.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,68,496967.0,6403448.0,,,A,A,0-16,0.0,16.0,8.0,4.6,87.2,5.4,7.4,1.3,1.8,0.1,14.2,5.8,5.0,103.8,3.4,0.9,3.0,0.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,68,496967.0,6403448.0,,,E,NA,16-38,16.0,38.0,27.0,9.9,83.8,6.9,9.3,1.7,0.2,0.0,11.7,5.7,4.4,24.3,1.0,2.4,0.4,0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,68,496967.0,6403448.0,,,B1,NA,38-52,38.0,52.0,45.0,1.3,37.2,6.9,55.9,1.5,0.3,0.0,8.3,5.3,4.3,71.1,4.2,12.1,0.8,0.1,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,68,496967.0,6403448.0,,,B2,NA,52-68,52.0,68.0,60.0,2.6,32.7,9.5,57.8,NA,0.2,0.0,9.4,5.2,4.1,63.2,5.7,2.5,0.6,0.0,3.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,69,497263.0,6404153.0,,,A,A,0-15,0.0,15.0,7.5,8.9,90.5,4.0,5.5,1.3,1.0,0.1,16.8,5.0,4.8,242.0,3.1,0.0,2.8,0.0,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,69,497263.0,6404153.0,,,E,NA,15 -40,15.0,40.0,27.5,16.3,87.7,4.5,7.8,1.5,0.3,0.0,19.4,5.6,4.4,20.3,1.3,0.1,0.7,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,69,497263.0,6404153.0,,,B1,NA,40-60,40.0,60.0,50.0,18.7,57.2,4.5,38.3,1.5,0.1,0.0,6.1,5.9,5.2,44.2,5.5,0.1,1.8,0.0,2.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,69,497263.0,6404153.0,,,B2,NA,60-85+,60.0,85.0,72.5,6.0,41.5,3.5,55.0,1.6,0.1,0.0,6.5,5.4,4.5,38.8,8.4,0.3,1.6,0.0,4.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,70,499413.0,6404060.0,,,A,A,0-10,0.0,10.0,5.0,0.0,93.2,4.0,2.8,1.3,2.2,0.2,10.4,6.5,5.3,275.0,6.9,0.1,5.6,0.8,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,70,499413.0,6404060.0,,,B,NA,10-25,10.0,25.0,17.5,0.1,95.6,1.5,3.0,1.4,0.3,0.0,13.3,4.9,4.0,27.9,1.4,0.1,0.4,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,70,499413.0,6404060.0,,,C,NA,25-38,25.0,38.0,31.5,0.1,94.3,1.5,4.2,1.5,0.2,0.0,10.3,5.0,3.8,19.8,0.9,0.1,0.4,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,70,499413.0,6404060.0,,,R,NA,38-48,38.0,48.0,43.0,0.1,92.7,3.9,3.4,NA,0.1,0.0,9.1,4.9,3.8,19.2,0.8,0.1,0.4,0.1,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,71,499377.0,6404113.0,,,A,A,0-15,0.0,15.0,7.5,0.1,76.9,14.1,9.0,1.4,2.6,0.2,12.2,5.3,4.6,44.3,8.6,0.1,6.9,0.1,1.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,71,499377.0,6404113.0,,,B1,NA,15-30,15.0,30.0,22.5,0.2,80.9,10.6,8.5,1.6,1.2,0.1,14.2,5.1,4.8,192.7,6.8,0.0,5.4,0.1,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,71,499377.0,6404113.0,,,B2,NA,30-50,30.0,50.0,40.0,0.4,82.3,8.2,9.5,1.7,0.3,0.0,11.6,6.0,5.0,22.5,4.7,0.0,3.2,0.0,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,71,499377.0,6404113.0,,,B2,NA,50-70,50.0,70.0,60.0,0.4,80.6,8.9,10.5,1.7,0.2,0.0,10.6,5.9,5.1,24.9,4.6,0.0,2.8,0.0,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,72,499214.0,6403703.0,,,A,A,0-13,0.0,13.0,6.5,0.1,99.7,0.1,0.2,1.5,2.2,0.2,10.6,5.3,4.8,319.0,6.4,0.5,6.2,0.4,1.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,72,499214.0,6403703.0,,,E,NA,13-24,13.0,24.0,18.5,0.2,89.4,7.3,3.3,1.6,0.3,0.0,11.8,7.6,4.7,16.6,0.4,1.7,0.4,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,72,499214.0,6403703.0,,,B1,NA,24-36,24.0,36.0,30.0,0.1,90.0,6.9,3.1,1.6,0.2,0.0,8.9,5.6,4.6,82.5,1.2,1.0,0.3,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,72,499214.0,6403703.0,,,B2,NA,36-85,36.0,85.0,60.5,0.3,72.2,12.9,14.9,1.7,0.1,0.0,4.9,5.2,4.1,77.6,1.1,2.0,0.4,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,73,498861.0,6403134.0,,,A,A,0-14,0.0,14.0,7.0,0.1,76.2,9.8,14.0,1.3,2.8,0.3,10.1,5.4,4.8,298.0,8.5,0.0,6.2,0.9,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,73,498861.0,6403134.0,,,E,NA,14-23,14.0,23.0,18.5,0.0,39.1,4.0,56.9,1.5,0.5,0.1,7.5,6.1,4.6,130.0,6.6,0.0,2.6,0.2,2.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
