"Easting","Northing","Longitude","Latitude"
498479.819359385,6403313.57977267,116.983816056786,-32.5074621707163
498581.629273987,6403253.9652637,116.984899841919,-32.5080000931732
498566.695797116,6403221.02547405,116.984740808007,-32.5082972267006
498605.299338514,6403197.36030504,116.985151752549,-32.5085107614135
498693.458489453,6403217.81825518,116.986090339962,-32.5083263157349
498714.824784111,6403265.57982052,116.986317874368,-32.5078954794348
498748.127677969,6403271.49853198,116.986672428739,-32.5078421242766
498760.249031251,6403247.51477528,116.986801442394,-32.5080584974444
498808.714941586,6403301.33230686,116.98731748522,-32.5075730578472
498893.817763602,6403313.1176958,116.988223510423,-32.5074668288795
498989.58163238,6403280.34088539,116.989242983709,-32.5077626026623
499039.113855049,6403205.00033595,116.989770231799,-32.5084423003114
499123.236194571,6403202.10946049,116.99066581078,-32.5084684487789
499172.96474537,6403135.61779614,116.991195171638,-32.5090683139862
499332.934531914,6403138.64408935,116.99289825294,-32.5090411211929
499441.252341594,6403077.73650896,116.994051395448,-32.5095906334963
499512.254833791,6403002.02890467,116.994807271207,-32.5102736316786
499561.786682428,6402884.16358661,116.995334552025,-32.5113369252123
499650.791073411,6402838.48782683,116.996282122321,-32.5117490015773
499774.126235154,6402763.80282368,116.997595200956,-32.5124227730413
499887.077876925,6402778.3824572,116.998797759366,-32.5122912662213
499991.583729308,6402792.73194355,116.999910395166,-32.5121618240483
500058.145152096,6402747.67078852,117.000619052114,-32.5125683228989
500142.242338069,6402647.65027473,117.001514422037,-32.5134706083969
500216.179900989,6402619.8225668,117.002301624961,-32.5137216324236
500352.713056245,6402556.53644403,117.003755290394,-32.5142925065378
500482.501813851,6402473.55210581,117.005137177124,-32.515041065883
NA,NA,NA,NA
500483.933651993,6402472.29534106,117.005152422493,-32.5150524026315
500561.041871577,6402440.33594166,117.005973409728,-32.5153406745372
500608.728401564,6402427.17590492,117.006481136468,-32.515459367108
500723.248572583,6402461.27838773,117.007700407464,-32.5151516572611
500798.8359573,6402435.41634864,117.008505206213,-32.515384908873
500868.423495424,6402421.91790921,117.009246117171,-32.5155066270591
500900.908558716,6402388.94057532,117.009592017689,-32.5158040922126
500901.67784747,6402363.30582857,117.009600232926,-32.5160353445876
500925.059577954,6402346.55033911,117.009849196478,-32.5161864778834
500928.071383995,6402316.96768792,117.009881292659,-32.5164533426974
500910.149012024,6402287.72303976,117.009690499223,-32.516717175708
500924.173867158,6402261.37430522,117.009839849952,-32.5169548580199
500915.825957291,6402246.13198715,117.00975098306,-32.5170923670268
500919.183065115,6402197.31749811,117.009786774584,-32.5175327233708
NA,NA,NA,NA
495131.26754933,6403856.88423007,116.948169973626,-32.5025513375876
495064.412134956,6403870.57581803,116.94745833728,-32.5024275293473
